ticker,index_score,Profitability_score,Liquidity_score,Efficiency_score,Solvency_score,AssetQuality_score,InvestmentCost_score,PerShareFundamentals_score
AAPL,0.630061434301081,0.895976473893271,0.5012190033141726,0.6932382771767603,0.32866869459973114,0.7,0.7092933267167915,0.2321627345355189
META,0.7687509673444867,0.9576695237045344,0.8439437244999988,0.31105093341186946,0.9102781641909661,0.9498835517586313,0.3478208897793846,0.9515006544825295
AMZN,0.5166724125928094,0.38036635210577496,0.32332303040832644,0.6100907489934275,0.8623260722558397,0.7947248006024861,0.40736223476802147,0.3168998352051901
GOOGL,0.6994184230185201,0.8891439706286575,0.6393947382956444,0.2970192486918159,0.987395131461907,0.9557613739792423,0.40766392483958325,0.40497591594571847
TSLA,0.4757607264029651,0.1452880417278035,0.6167625122929362,0.5004034752230961,0.8111581780126217,0.7387359979142839,0.37638046783014034,0.15680637905253741
MSFT,0.6970958088355561,0.9199890969224577,0.5741579096704281,0.44912647618731616,0.9404036051760906,0.8042928310936495,0.3090267496663639,0.6501096478068752
NVDA,0.8353619525407028,1.0,0.9284346283872258,0.5875608000208367,0.9650318846791639,0.9672950426885927,0.6600598444094686,0.08101270896902779
JNJ,0.5623784232632719,0.654281295862636,0.4463181490876557,0.26400120706718033,0.7647479918323772,0.5729172130235743,0.7652147271579608,0.42837791253989255
UNH,0.45485340536711943,0.2803218223176723,0.340515984150405,0.5334461303278547,0.6172136090743774,0.2818267223527332,0.6588811981201221,1.0
PG,0.4913879364013821,0.6130601798782919,0.33471224845977043,0.42920703493004336,0.7128758308923179,0.2869750867101286,0.5585107377192037,0.306388588471354
V,0.661028807218464,1.0,0.566700305281,0.2730841945483317,0.8340135136574054,0.5351504855943227,0.5599867503850184,0.4422073266693888
JPM,0.34307534534682,0.47113166402444195,0.21605733777005598,0.12410468282082932,0.13224149907156876,0.43629034502838543,0.75,0.5
XOM,0.5216501430084015,0.2273576813811401,0.5279156178422948,0.47303181630617247,0.9478681735522123,0.7546537923258789,0.44818978060598413,0.5161648664542706
HD,0.5169183526116721,0.5729818286395452,0.37605544470634766,0.699865417905158,0.2093197242106306,0.6796198521649712,0.6255253058701722,0.6313903877926715
AVGO,0.5250384504392425,0.6864102746316659,0.4195274205526528,0.5018584147641103,0.46847165796759865,0.2653815642754055,0.8934676511632115,0.1619193043435504
COST,0.6231419928728466,0.3428142945883532,0.5220477586333366,0.8485798463970714,0.8986743387956567,0.7826896666489317,0.4802256157689771,0.8929842295678139
MA,0.6332427521597668,1.0,0.5340636899114901,0.4154705116874665,0.3295824968367271,0.6468267519604387,0.693342663762654,0.6131024265306101
DIS,0.35967668119405466,0.2544694661528057,0.2479233349219069,0.4547685927885818,0.6328833994133062,0.18326331750985833,0.4263719695242798,0.447266402755496
BAC,0.27753603389128234,0.24383302620393793,0.23319174443480067,0.19071408308306495,0.1497873278559478,0.39371504186365003,0.7090660269444744,0.17172219863346697
PFE,0.3930900395095246,0.38984693445873947,0.2981306742250776,0.1869995293101126,0.5424850869991599,0.37745841892317944,0.8491834838011361,0.07830576662003512
CVX,0.4636379103186849,0.15837152222175102,0.3844620094250201,0.596543185325718,0.792384173013563,0.5774245559211193,0.4481816167942211,0.7250581371163389
ABBV,0.3965815578382015,0.6512034783818262,0.2886088147006946,0.30347707279350655,0.07285005816916215,0.148613572106654,0.934260669129136,0.22644863069253324
KO,0.386004724837246,0.6633361473590191,0.14231502918801675,0.4067123189211417,0.3040161844652744,0.48331496357439196,0.35198394505759345,0.03137031577453861
CRM,0.5067970028057532,0.3936504389130438,0.6043340306490079,0.3221788405707603,0.6408175833344975,0.25319449112117864,0.8717066526002671,0.6115601797951477
LLY,0.49180530696528807,0.9057620242532813,0.16788016733966096,0.2186777562269786,0.36980243480532404,0.9138396987021566,0.35063157790226995,0.34139222237494904
MRK,0.60026883546741,0.9079420234889659,0.4581855780615397,0.2667243471905721,0.4840494554408075,0.7379867789542781,0.7987206670651712,0.3071879797241719
