ticker,index_score,Profitability_score,Liquidity_score,Efficiency_score,Solvency_score,AssetQuality_score,InvestmentCost_score,PerShareFundamentals_score
AAPL,0.5973569354257459,0.9131629345707307,0.3085358721789974,0.6542278060581096,0.40092108766237133,0.7,0.6568789922592309,0.26797588126536964
TSLA,0.4883425636016992,0.44309174863808054,0.33190808635972047,0.4717351242934121,0.7616555173914183,0.8222563376977609,0.32379655272347585,0.23148247750773557
AMZN,0.49668653607711316,0.5786564524053639,0.1810593650924201,0.5199961836002056,0.7337289177843649,0.7419290162503884,0.36315339364074045,0.3448708752097944
MSFT,0.6404765098609799,0.9117859257104567,0.3945519491876625,0.4552091141636674,0.8821110425791047,0.7942341231106682,0.23303002679554932,0.6059040018759113
NVDA,0.7879386782469205,1.0,0.7549358269565722,0.5240329506189854,0.956613651981329,0.9595775528625234,0.6121370403357305,0.15366126291467141
GOOGL,0.6627155400537157,0.8979906633885096,0.49817597893465215,0.28834168420109135,0.979309218954455,0.9453222487119728,0.3324249186433349,0.4132065242159044
META,0.6992597398544816,0.9529529248027558,0.5484625356571852,0.272474548962967,0.8996578082717654,0.9404515579022681,0.33075004552368054,0.9677797518910194
NFLX,0.6176934210268763,0.8473267285867992,0.32972290786687103,0.6258372452302352,0.5832815085104811,0.42162491344080866,0.7617895916844909,0.8041578746632987
JPM,0.38366970263251987,0.6326950894611071,0.16165619895001665,0.10815673575190984,0.18506667845680858,0.5168499266526425,0.7249618568066772,0.5
V,0.5943261493351348,1.0,0.35430777974887995,0.2607069705725871,0.7541623810805151,0.4311364583425688,0.561986547379756,0.4384378013032192
BAC,0.34783989609920135,0.4938043128973478,0.17310176847263628,0.15580974416643747,0.23230031136038157,0.4820589744854449,0.7142275991349638,0.2384659697854682
AMD,0.49621819480800144,0.4544677861579572,0.4474107740412132,0.2685087283224549,0.8508817668025366,0.3102989693683071,0.8240178446569901,0.2355767557798213
PYPL,0.5066515010036248,0.6195367723409372,0.2922993440105408,0.26573169812934727,0.6594563754513431,0.7076585809009158,0.6872779414896112,0.30071151680252106
DIS,0.40360209356364185,0.506135864125549,0.1420672437237281,0.4288218843759952,0.642256748528238,0.23609649932694785,0.40155875805733876,0.4845471622689064
T,0.320562084457993,0.5497857902380912,0.09869403007801408,0.31913992033635846,0.422945759518662,0.13699474740172007,0.27677844026106335,0.21373320276671814
PFE,0.4144664047614367,0.5883383501304711,0.20368862323515208,0.18494720425091205,0.5645107168767303,0.3188291347993477,0.7393391007107502,0.16817161723264765
COST,0.6119582602464247,0.5399454779854176,0.29269182442595976,0.7651068542939597,0.8960195495492549,0.8158126104910031,0.42909320798398665,0.8954796688179418
INTC,0.24609056433563248,0.061228295774525,0.11772165142451743,0.2567522163180827,0.5480946191616467,0.4752924584656944,0.33109399448531524,0.11746978980074704
KO,0.39344413889220287,0.7444460205388665,0.09070907293040749,0.34008754371546307,0.3304861244946545,0.4731209184444543,0.36445200660534316,0.09694952869814798
TGT,0.47413545989258576,0.4988262669906458,0.25430089368099257,0.3574129718345412,0.6929451109530272,0.7071602751913916,0.4552670647305014,0.4954453599680258
NKE,0.520044022082745,0.5743313420943155,0.394538353048,0.5019351259199245,0.4513237556543913,0.8218690445611403,0.6288045896627537,0.18994640582058742
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,0.3619977876350825,0.22032760871953713,0.24938181309224947,0.22280847585110317,0.6063128289898705,0.6222044944505356,0.7045087766554872,0.0
BABA,0.4756772738833703,0.5345780684943734,0.2198888929113197,0.20219752598614693,0.7474425720042404,0.7328915251944166,0.32319810959513195,1.0
XOM,0.5098580052800338,0.4937568506988425,0.2831605204508181,0.4238566255349979,0.8240811716790615,0.7654431027892861,0.39495245021852876,0.5311292726453822
WMT,0.41612377377567955,0.4788928181642416,0.08704006155197919,0.6113018783430075,0.5755840297010746,0.5395908422334199,0.38027455302239,0.17946262384059933
GE,0.4491064612926617,0.639004991263595,0.22760332141538758,0.2196275492785012,0.5032718216951955,0.5875556771559892,0.6317700270757941,0.26934146248905083
CSCO,0.4712381109525689,0.6409482454294307,0.2594614415799097,0.3574216923649186,0.5907842841144542,0.28515273554844883,0.7916208331421408,0.18401015876528734
VZ,0.3763669103478491,0.6132830811545193,0.08797493151674478,0.3508656379239345,0.3627412102307244,0.4750127810828027,0.34928887438304546,0.319599219721734
JNJ,0.5145381822672987,0.7397879506551459,0.2762590953335271,0.250549323606609,0.6592455988994707,0.4800163736621257,0.6794707604859723,0.43842847492170184
CVX,0.47691466976635544,0.4572664896345411,0.19922787503914502,0.49099628080465374,0.749237704570022,0.6300428394976944,0.39024901808118967,0.6937637757160287
PLTR,0.6039997558665381,0.523532340725031,0.8858633435694191,0.24919256698398928,0.7486749929620358,0.6779155013386717,0.7482827242529917,0.07288090840652829
SQ,0.5440299228861577,0.47393887564372217,0.4509468607866183,0.6232742607697387,0.7549866676351427,0.40622288113754573,0.750183613222875,0.25952086242258665
SHOP,0.5954752077206604,0.5400364411129112,0.6939081002663249,0.3918231541514373,0.7220364698043615,0.676495849329782,0.8091193979175015,0.12088018142138998
SBUX,0.41633197316189413,0.4396465912564932,0.09226825721745022,0.6054304363592324,0.5908179110967913,0.6534031520183845,0.3537130784305213,0.15635597481973285
SOFI,0.3899229983843303,0.4727622244085433,0.17763373623071352,0.0857250236703408,0.580279550403267,0.5813108062023843,0.7562752491632021,0.05092806776904102
HOOD,0.5699746571178645,0.8617902305408724,0.25426724527872974,0.19793765365370383,0.7021037431724351,0.7507972979114059,0.8732816374407809,0.1251909473552185
RBLX,0.2418912762698874,0.0,0.2666550744635536,0.29362255326164277,0.10659130717200496,0.4959972115860309,0.7524432512745688,0.07368272052139149
SNAP,0.302494797508416,0.0803595286054341,0.4966180902336732,0.27679912019209757,0.26531610362328034,0.34944747296785755,0.6392494757492021,0.057886377326203886
UBER,0.5465293134868815,0.7177725046750948,0.3219399339241624,0.4789608455059826,0.6268680002602567,0.5255670257827627,0.7319409441413293,0.22146153351860476
FDX,0.42677046931642537,0.41499529851201516,0.16314796156466138,0.25587481725764555,0.684597635722497,0.6000085447151593,0.42794962535748854,0.9305073484240638
ABBV,0.4074345646719289,0.7508319074970939,0.20600817990781387,0.2521385866493191,0.08171628110592294,0.2646098043574729,0.888362349671183,0.26299012499881524
ETSY,0.5939017436241515,0.424722715829673,0.7200888665904512,0.5519108531539691,0.7512934717093718,0.5708804116612969,0.8054881277681792,0.211715773523885
MRNA,0.393354242978715,0.0,0.6341321861046508,0.39032375322914103,0.6774711664318576,0.5484852246229686,0.4692474932155263,0.09170592049571057
LMT,0.47164470363514466,0.635584757579661,0.19195697761855415,0.6464144515196456,0.1640535474456931,0.5878566959313141,0.5396153556940549,0.800794274183616
GM,0.3573350883514096,0.416427810161243,0.10943882238025342,0.3608895326032491,0.34004855430618897,0.752926032605255,0.22430011818983792,0.5695408643824645
F,0.3125439901744997,0.3741599171714172,0.13035827850821258,0.334822600771699,0.14645512615188266,0.6980235794107931,0.42236198489637533,0.17404279421497604
